realtime_start,value,date,realtime_end
12/6/2019,820447,6/1/1992,12/6/2019
12/6/2019,825098,7/1/1992,12/6/2019
12/6/2019,826136,8/1/1992,12/6/2019
12/6/2019,827513,9/1/1992,12/6/2019
12/6/2019,827914,10/1/1992,12/6/2019
12/6/2019,829839,11/1/1992,12/6/2019
12/6/2019,835800,12/1/1992,12/6/2019
12/6/2019,835983,1/1/1993,12/6/2019
12/6/2019,838089,2/1/1993,12/6/2019
12/6/2019,844806,3/1/1993,12/6/2019
12/6/2019,846782,4/1/1993,12/6/2019
12/6/2019,847279,5/1/1993,12/6/2019
12/6/2019,849135,6/1/1993,12/6/2019
12/6/2019,849450,7/1/1993,12/6/2019
12/6/2019,850877,8/1/1993,12/6/2019
12/6/2019,855018,9/1/1993,12/6/2019
12/6/2019,855322,10/1/1993,12/6/2019
12/6/2019,859037,11/1/1993,12/6/2019
12/6/2019,863125,12/1/1993,12/6/2019
12/6/2019,863021,1/1/1994,12/6/2019
12/6/2019,867670,2/1/1994,12/6/2019
12/6/2019,868751,3/1/1994,12/6/2019
12/6/2019,871989,4/1/1994,12/6/2019
12/6/2019,882927,5/1/1994,12/6/2019
12/6/2019,888689,6/1/1994,12/6/2019
12/6/2019,894473,7/1/1994,12/6/2019
12/6/2019,902148,8/1/1994,12/6/2019
12/6/2019,907994,9/1/1994,12/6/2019
12/6/2019,913439,10/1/1994,12/6/2019
12/6/2019,919492,11/1/1994,12/6/2019
12/6/2019,926395,12/1/1994,12/6/2019
12/6/2019,935639,1/1/1995,12/6/2019
12/6/2019,942713,2/1/1995,12/6/2019
12/6/2019,951538,3/1/1995,12/6/2019
12/6/2019,959239,4/1/1995,12/6/2019
12/6/2019,965634,5/1/1995,12/6/2019
12/6/2019,969558,6/1/1995,12/6/2019
12/6/2019,972934,7/1/1995,12/6/2019
12/6/2019,976097,8/1/1995,12/6/2019
12/6/2019,980029,9/1/1995,12/6/2019
12/6/2019,984223,10/1/1995,12/6/2019
12/6/2019,986767,11/1/1995,12/6/2019
12/6/2019,985385,12/1/1995,12/6/2019
12/6/2019,990730,1/1/1996,12/6/2019
12/6/2019,991277,2/1/1996,12/6/2019
12/6/2019,989146,3/1/1996,12/6/2019
12/6/2019,992111,4/1/1996,12/6/2019
12/6/2019,993761,5/1/1996,12/6/2019
12/6/2019,993127,6/1/1996,12/6/2019
12/6/2019,997782,7/1/1996,12/6/2019
12/6/2019,999951,8/1/1996,12/6/2019
12/6/2019,1000678,9/1/1996,12/6/2019
12/6/2019,1004389,10/1/1996,12/6/2019
12/6/2019,1004457,11/1/1996,12/6/2019
12/6/2019,1004646,12/1/1996,12/6/2019
12/6/2019,1007785,1/1/1997,12/6/2019
12/6/2019,1010716,2/1/1997,12/6/2019
12/6/2019,1010352,3/1/1997,12/6/2019
12/6/2019,1014611,4/1/1997,12/6/2019
12/6/2019,1018535,5/1/1997,12/6/2019
12/6/2019,1024680,6/1/1997,12/6/2019
12/6/2019,1026787,7/1/1997,12/6/2019
12/6/2019,1028019,8/1/1997,12/6/2019
12/6/2019,1034401,9/1/1997,12/6/2019
12/6/2019,1038283,10/1/1997,12/6/2019
12/6/2019,1040118,11/1/1997,12/6/2019
12/6/2019,1045495,12/1/1997,12/6/2019
12/6/2019,1048304,1/1/1998,12/6/2019
12/6/2019,1054991,2/1/1998,12/6/2019
12/6/2019,1060201,3/1/1998,12/6/2019
12/6/2019,1062401,4/1/1998,12/6/2019
12/6/2019,1061497,5/1/1998,12/6/2019
12/6/2019,1061985,6/1/1998,12/6/2019
12/6/2019,1064039,7/1/1998,12/6/2019
12/6/2019,1066363,8/1/1998,12/6/2019
12/6/2019,1070815,9/1/1998,12/6/2019
12/6/2019,1073223,10/1/1998,12/6/2019
12/6/2019,1077587,11/1/1998,12/6/2019
12/6/2019,1077183,12/1/1998,12/6/2019
12/6/2019,1077080,1/1/1999,12/6/2019
12/6/2019,1082721,2/1/1999,12/6/2019
12/6/2019,1090051,3/1/1999,12/6/2019
12/6/2019,1092918,4/1/1999,12/6/2019
12/6/2019,1095905,5/1/1999,12/6/2019
12/6/2019,1098782,6/1/1999,12/6/2019
12/6/2019,1104062,7/1/1999,12/6/2019
12/6/2019,1105895,8/1/1999,12/6/2019
12/6/2019,1112246,9/1/1999,12/6/2019
12/6/2019,1115766,10/1/1999,12/6/2019
12/6/2019,1128337,11/1/1999,12/6/2019
12/6/2019,1137260,12/1/1999,12/6/2019
12/6/2019,1140023,1/1/2000,12/6/2019
12/6/2019,1146435,2/1/2000,12/6/2019
12/6/2019,1150666,3/1/2000,12/6/2019
12/6/2019,1157552,4/1/2000,12/6/2019
12/6/2019,1163974,5/1/2000,12/6/2019
12/6/2019,1174263,6/1/2000,12/6/2019
12/6/2019,1175374,7/1/2000,12/6/2019
12/6/2019,1183268,8/1/2000,12/6/2019
